id,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
252,78.8,91.0,1,12.05,5160.508378,64.0,61,59.8,1,96.0,9.32,95.0,0.1,35589.71295,1421137.0,0.8,0.8,0.88,18.8,Developed
253,78.3,95.0,0,11.28,507.306164,64.0,44,59.4,1,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6,Developed
254,78.0,99.0,1,11.29,320.3177664,6.0,0,59.0,1,96.0,8.46,95.0,0.1,2552.3328,1332785.0,0.8,0.8,0.875,18.8,Developed
255,78.0,1.0,1,11.01,2943.375396,6.0,83,58.5,1,96.0,8.29,95.0,0.1,23121.56635,128657.0,0.8,0.8,0.873,18.2,Developed
256,77.6,11.0,1,11.21,287.2084529,6.0,0,58.1,1,96.0,8.12,95.0,0.1,2327.4591,125125.0,0.8,0.8,0.869,18.0,Developed
385,74.5,137.0,0,,0.0,92.0,0,65.7,1,91.0,,91.0,0.1,6993.47736,7177991.0,1.9,1.8,0.792,15.0,Developed
386,74.3,138.0,1,12.03,153.1400362,95.0,0,65.1,1,88.0,8.44,88.0,0.1,7853.335191,7223938.0,1.9,1.9,0.787,14.8,Developed
387,74.1,14.0,1,12.06,149.659879,95.0,14,64.5,1,95.0,7.93,95.0,0.1,7674.86559,7265115.0,1.9,1.9,0.781,14.4,Developed
388,73.9,139.0,1,10.99,851.450672,95.0,1,63.9,1,95.0,7.11,95.0,0.1,7378.25539,735888.0,1.9,1.9,0.778,14.3,Developed
389,73.7,144.0,1,10.67,875.1495189,96.0,157,63.3,1,95.0,6.88,95.0,0.1,7813.83499,7348328.0,2.0,2.0,0.775,14.2,Developed
390,73.4,147.0,1,10.8,766.4454884,95.0,22004,62.7,1,94.0,7.24,94.0,0.1,6843.263289,7395599.0,2.0,2.0,0.77,13.9,Developed
391,73.2,152.0,1,10.93,661.5144334,96.0,2249,62.1,1,94.0,6.78,94.0,0.1,6955.987733,7444443.0,2.0,2.1,0.768,13.8,Developed
392,72.9,155.0,1,10.98,107.9826127,96.0,1,61.5,1,96.0,6.61,95.0,0.1,7296.122479,7492561.0,2.1,2.1,0.761,13.8,Developed
393,72.6,157.0,1,10.89,591.5100978,95.0,1,6.9,1,95.0,6.41,95.0,0.1,5932.899677,7545338.0,2.1,2.2,0.755,13.5,Developed
394,72.2,161.0,1,10.39,508.6304588,96.0,1,6.3,1,96.0,6.67,95.0,0.1,4513.13628,76122.0,2.2,2.2,0.75,13.5,Developed
395,72.1,16.0,1,10.48,456.3404657,96.0,3,59.7,1,97.0,7.8,96.0,0.1,3893.68998,7658972.0,2.2,2.3,0.745,13.5,Developed
396,72.2,157.0,1,10.96,384.1473028,94.0,0,59.1,1,94.0,7.9,95.0,0.1,3381.57837,771686.0,2.3,2.3,0.738,13.3,Developed
397,72.0,155.0,1,11.19,32.38616103,96.0,0,58.6,1,96.0,7.43,96.0,0.1,271.46824,7775327.0,2.3,2.4,0.729,12.9,Developed
398,71.8,157.0,1,10.2,33.26778134,88.0,0,58.1,1,94.0,7.41,93.0,0.1,287.534843,7837161.0,2.4,2.4,0.723,12.9,Developed
399,71.6,16.0,1,10.72,25.06262895,93.0,8,57.5,1,94.0,7.23,94.0,0.1,1764.97387,89142.0,2.4,2.5,0.713,12.9,Developed
400,71.1,163.0,1,9.69,15.2357274,94.0,46,57.0,1,94.0,6.7,93.0,0.1,169.28586,817172.0,2.5,2.5,0.709,12.9,Developed
642,78.0,95.0,0,,0.0,94.0,206,63.7,0,94.0,,94.0,0.1,11579.6674,42364.0,1.5,1.4,0.823,15.3,Developed
643,77.8,97.0,0,12.14,1884.098811,95.0,0,63.1,0,95.0,7.8,95.0,0.1,13467.46827,4238389.0,1.5,1.5,0.82,15.1,Developed
644,77.7,97.0,0,12.39,1899.107385,96.0,0,62.5,0,96.0,7.83,96.0,0.1,13574.749,4255689.0,1.5,1.5,0.817,14.9,Developed
645,77.1,14.0,0,11.49,1851.713262,98.0,2,61.9,0,96.0,7.8,96.0,0.1,13235.97757,4267558.0,1.5,1.5,0.815,14.6,Developed
646,77.0,14.0,0,12.19,1913.356642,97.0,12,61.3,0,96.0,7.8,96.0,0.1,14539.18421,428622.0,1.6,1.5,0.808,14.5,Developed
647,76.6,16.0,0,12.1,206.8868182,97.0,7,6.6,0,97.0,8.25,97.0,0.1,1355.74586,4417781.0,1.6,1.6,0.803,14.2,Developed
648,76.3,19.0,0,12.21,2160.380199,97.0,2,6.0,0,96.0,8.18,96.0,0.1,14157.14416,442978.0,1.7,1.6,0.803,14.2,Developed
649,76.0,116.0,0,12.06,2425.403891,97.0,51,59.4,0,96.0,7.7,96.0,0.1,15893.8656,443458.0,1.7,1.7,0.8,14.3,Developed
650,75.8,114.0,0,12.56,2019.812779,95.0,0,58.7,0,96.0,7.44,96.0,0.1,13546.69872,4436.0,1.8,1.7,0.793,14.3,Developed
651,75.9,113.0,0,11.83,1555.651986,,1,58.1,0,96.0,6.95,96.0,0.1,11363.41845,444.0,1.8,1.8,0.783,13.9,Developed
652,75.2,116.0,0,11.59,167.2319899,,2,57.5,0,96.0,6.89,96.0,0.1,1224.2459,4442.0,1.8,1.8,0.777,13.6,Developed
653,75.4,114.0,0,13.11,1116.396502,,54,56.9,0,96.0,6.56,96.0,0.1,9365.742468,4439.0,1.9,1.9,0.771,13.3,Developed
654,74.7,122.0,0,13.78,93.67706503,,19,56.3,0,95.0,6.35,94.0,0.1,785.881418,444.0,1.9,1.9,0.765,12.9,Developed
655,74.8,124.0,0,13.39,11.63615139,,6,55.8,0,95.0,6.19,95.0,0.1,653.71637,444.0,2.0,2.0,0.759,12.6,Developed
656,74.9,126.0,0,13.15,650.9567981,,8,55.2,0,94.0,7.16,94.0,0.1,5245.421419,444.0,2.0,2.0,0.749,12.3,Developed
657,74.7,127.0,0,12.73,649.3909871,,9,54.7,0,94.0,7.66,93.0,0.1,4919.62869,4426.0,2.1,2.1,0.739,12.2,Developed
674,85.0,52.0,0,,0.0,97.0,0,6.3,0,97.0,,97.0,0.1,2375.1127,116985.0,1.0,1.0,0.854,14.3,Developed
675,83.0,53.0,0,0.01,207.3041936,96.0,10,59.8,0,99.0,7.37,99.0,0.1,2734.88382,115239.0,0.9,1.0,0.85,14.0,Developed
676,81.0,54.0,0,9.04,212.0859259,96.0,0,59.2,0,99.0,7.46,99.0,0.1,2797.96736,1143896.0,0.9,1.0,0.85,13.8,Developed
677,80.0,56.0,0,10.55,2159.756205,96.0,1,58.7,0,99.0,7.44,99.0,0.1,28951.15556,113562.0,0.9,1.0,0.85,13.8,Developed
678,79.7,57.0,0,10.69,2443.325028,96.0,0,58.3,0,99.0,7.54,99.0,0.1,32233.83942,1124835.0,0.9,1.0,0.847,13.8,Developed
679,79.5,59.0,0,11.32,283.3300258,96.0,18,57.8,0,99.0,7.23,99.0,0.1,3818.46396,111267.0,0.9,1.0,0.853,14.6,Developed
680,79.3,6.0,0,10.8,230.2524184,96.0,0,57.3,0,99.0,7.4,99.0,0.1,3215.8159,19876.0,0.9,1.0,0.849,14.1,Developed
681,79.1,62.0,0,12.01,239.6409938,93.0,1,56.8,0,97.0,6.89,97.0,0.1,3539.7488,181563.0,0.9,1.0,0.844,13.7,Developed
682,78.9,63.0,0,11.56,1958.525877,93.0,0,56.3,0,97.0,6.5,97.0,0.1,31386.63265,163712.0,0.9,1.0,0.836,13.5,Developed
683,78.8,64.0,0,11.47,1700.841534,93.0,0,55.8,0,97.0,6.28,97.0,0.1,27169.99256,14559.0,0.9,1.0,0.829,13.4,Developed
684,78.7,65.0,0,11.41,1562.520827,88.0,1,55.3,0,98.0,6.37,98.0,0.1,25324.48666,127658.0,0.9,1.0,0.826,13.5,Developed
685,78.6,65.0,0,13.03,1586.724172,88.0,0,54.8,0,98.0,6.42,98.0,0.1,23932.49128,1141.0,0.9,1.0,0.823,13.4,Developed
686,78.5,66.0,0,10.62,158.7087399,88.0,0,54.3,0,98.0,6.83,98.0,0.1,2293.4789,993563.0,0.9,1.0,0.815,13.0,Developed
687,78.4,68.0,0,11.68,1128.050886,88.0,0,53.8,0,98.0,6.12,98.0,0.1,16372.29152,976966.0,0.9,1.0,0.805,12.5,Developed
688,78.2,69.0,0,10.16,100.8086193,89.0,0,53.3,0,97.0,5.78,97.0,0.1,1562.92433,96282.0,0.9,1.0,0.8,12.4,Developed
689,78.1,7.0,0,9.56,950.8027925,89.0,0,52.8,0,97.0,5.77,97.0,0.1,14672.8826,943286.0,0.9,1.0,0.798,12.5,Developed
690,78.8,86.0,0,,0.0,97.0,9,66.1,0,97.0,,97.0,0.1,,,1.8,1.8,,,Developed
691,78.6,88.0,0,12.68,0.0,99.0,222,65.6,0,99.0,7.41,97.0,0.1,,,1.8,1.9,,,Developed
692,78.2,9.0,0,12.45,0.0,99.0,15,65.1,0,99.0,7.49,98.0,0.1,,,1.8,1.9,,,Developed
693,78.0,93.0,0,12.71,0.0,99.0,22,64.5,0,99.0,7.55,99.0,0.1,,,1.8,1.9,,,Developed
694,77.8,97.0,0,12.43,0.0,99.0,17,64.0,0,99.0,7.5,99.0,0.1,,,1.9,1.9,,,Developed
695,77.5,99.0,0,12.69,0.0,99.0,0,63.6,0,99.0,7.43,99.0,0.1,,,1.9,2.0,,,Developed
696,77.1,12.0,0,13.23,0.0,99.0,5,63.1,0,99.0,7.85,99.0,0.1,,,1.9,2.0,,,Developed
697,77.0,16.0,0,13.25,0.0,99.0,2,62.6,0,99.0,6.82,99.0,0.1,,,1.9,2.0,,,Developed
698,76.8,17.0,0,13.43,0.0,99.0,2,62.2,0,99.0,6.52,99.0,0.1,,,2.0,2.1,,,Developed
699,76.5,19.0,0,13.03,0.0,98.0,7,61.8,0,98.0,6.69,98.0,0.1,,,2.0,2.1,,,Developed
700,75.9,114.0,0,13.19,0.0,99.0,0,61.3,0,96.0,6.93,97.0,0.1,,,2.1,2.1,,,Developed
701,75.8,116.0,0,13.24,0.0,98.0,17,6.8,0,96.0,6.9,98.0,0.1,,,2.1,2.2,,,Developed
702,75.2,122.0,0,13.01,0.0,92.0,30,6.4,0,97.0,7.13,97.0,0.1,,,2.2,2.2,,,Developed
703,75.3,12.0,0,13.47,0.0,86.0,4,59.9,0,97.0,6.8,98.0,0.1,,,2.2,2.3,,,Developed
704,75.1,123.0,0,13.36,0.0,,6,59.4,0,97.0,6.42,98.0,0.1,,,2.2,2.3,,,Developed
705,74.7,126.0,0,13.22,0.0,,9,59.0,0,98.0,6.31,98.0,0.1,,,2.3,2.3,,,Developed
738,86.0,71.0,0,,0.0,,9,58.8,0,93.0,,93.0,0.1,5314.64416,5683483.0,1.1,0.9,0.923,19.2,Developed
739,84.0,73.0,0,9.64,10468.76292,,27,58.4,0,94.0,1.8,94.0,0.1,62425.5392,5643475.0,1.1,0.9,0.926,19.2,Developed
740,81.0,75.0,0,9.5,10261.763,,17,58.1,0,94.0,11.25,94.0,0.1,61191.19263,5614932.0,1.1,0.9,0.924,18.7,Developed
741,80.0,76.0,0,9.26,928.4170785,,2,57.7,0,94.0,1.98,94.0,0.1,5857.521,5591572.0,1.1,0.9,0.922,18.4,Developed
742,79.7,79.0,0,10.47,10251.10872,,84,57.4,0,91.0,1.87,91.0,0.1,61753.667,557572.0,1.1,0.9,0.91,16.9,Developed
743,79.2,84.0,0,10.28,954.4865933,,5,57.0,0,9.0,11.8,9.0,0.1,5841.41122,5547683.0,1.1,0.9,0.906,16.8,Developed
744,78.9,86.0,0,10.08,9765.616994,,6,56.6,0,89.0,11.47,89.0,0.1,58163.29359,552395.0,1.1,0.9,0.906,16.8,Developed
745,78.8,88.0,0,10.7,10761.18209,,14,56.3,0,88.0,1.18,88.0,0.1,64322.6664,5493621.0,1.1,0.9,0.906,16.8,Developed
746,78.4,93.0,0,10.99,9703.068121,,2,55.9,0,87.0,9.99,87.0,0.1,58487.451,5461438.0,1.2,0.9,0.904,16.7,Developed
747,78.1,93.0,0,11.02,850.9544783,,27,55.4,0,93.0,9.92,93.0,0.1,5226.99311,5437272.0,1.2,0.9,0.902,16.9,Developed
748,78.1,92.0,0,11.28,7627.412444,,2,55.0,0,93.0,9.77,93.0,0.1,48799.8237,5419432.0,1.2,1.0,0.897,16.6,Developed
749,77.7,98.0,0,11.27,6948.839868,,0,54.4,0,95.0,9.67,95.0,0.1,46511.6457,544523.0,1.2,1.0,0.893,16.5,Developed
750,77.3,11.0,0,11.54,650.9813544,,0,53.9,0,96.0,9.51,96.0,0.1,4458.7764,539574.0,1.2,1.0,0.882,16.3,Developed
751,77.0,14.0,0,11.34,4801.546125,,32,53.3,0,98.0,9.33,98.0,0.1,33228.69291,5375931.0,1.2,1.0,0.875,16.6,Developed
752,77.0,12.0,0,11.56,530.4832336,,11,52.8,0,97.0,9.1,97.0,0.1,3751.64946,5358783.0,1.3,1.0,0.862,16.2,Developed
753,76.9,12.0,0,11.69,508.7496912,,14,52.2,0,97.0,8.7,97.0,0.1,3743.55917,5339616.0,1.3,1.0,0.86,16.5,Developed
995,81.0,68.0,2,,0.0,88.0,2464,62.3,3,94.0,,95.0,0.1,41176.88158,81686611.0,1.1,1.1,0.924,17.1,Developed
996,89.0,69.0,2,11.03,941.7562909,88.0,443,61.9,3,94.0,11.3,95.0,0.1,4792.65288,89825.0,1.1,1.1,0.92,17.0,Developed
997,86.0,71.0,2,10.94,895.8779503,88.0,1771,61.4,3,94.0,11.16,95.0,0.1,4653.91143,864565.0,1.1,1.1,0.919,16.9,Developed
998,86.0,71.0,2,11.18,839.91332,88.0,166,6.9,3,94.0,1.99,95.0,0.1,4465.24891,8425823.0,1.1,1.1,0.916,16.9,Developed
999,85.0,74.0,2,11.2,869.790735,88.0,1607,6.4,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8,Developed
1000,81.0,76.0,2,11.2,7584.078579,88.0,780,59.9,3,94.0,11.25,95.0,0.1,41785.55691,8177693.0,1.1,1.1,0.907,16.7,Developed
1001,80.0,79.0,2,11.22,7641.270645,88.0,574,59.5,3,95.0,11.4,96.0,0.1,41732.7725,819237.0,1.1,1.1,0.906,16.7,Developed
1002,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Developed
1003,79.8,82.0,3,11.5,7777.556353,86.0,567,58.5,3,95.0,1.18,96.0,0.1,41814.8191,82266372.0,1.1,1.1,0.898,16.6,Developed
1004,79.6,84.0,3,11.76,6407.535954,87.0,2307,58.0,3,94.0,1.34,96.0,0.1,36447.87232,82376451.0,1.1,1.1,0.892,16.5,Developed
1005,79.2,85.0,3,11.67,6012.92584,9.0,778,57.6,3,95.0,1.52,96.0,0.1,34696.6292,82469422.0,1.1,1.1,0.884,16.4,Developed
1006,79.1,86.0,3,11.83,5842.374765,88.0,121,57.1,3,96.0,1.37,96.0,0.1,34165.9343,8251626.0,1.1,1.1,0.877,16.4,Developed
1007,78.5,9.0,3,11.92,582.6157028,9.0,779,56.6,4,96.0,1.62,97.0,0.1,3359.95215,82534176.0,1.1,1.1,0.872,16.3,Developed
1008,78.4,91.0,3,12.25,437.1059663,87.0,4657,56.1,4,97.0,1.4,93.0,0.1,2525.16445,82488495.0,1.2,1.1,0.867,16.3,Developed
1009,78.3,92.0,3,12.46,4057.637383,86.0,6024,55.6,4,96.0,1.15,93.0,0.1,23687.31689,82349925.0,1.2,1.1,0.86,16.2,Developed
1010,78.0,95.0,3,12.91,4238.540035,84.0,0,55.1,4,94.0,1.1,9.0,0.1,23718.7467,8221158.0,1.2,1.2,0.855,16.2,Developed
1155,75.8,134.0,0,,0.0,,0,64.8,0,99.0,,99.0,0.1,12365.6263,984328.0,1.6,1.6,0.834,15.6,Developed
1156,75.6,137.0,0,0.01,160.9449342,,0,64.2,0,99.0,7.4,99.0,0.1,14117.97668,9866468.0,1.7,1.6,0.834,15.8,Developed
1157,75.5,139.0,0,10.88,155.1952076,,1,63.6,1,99.0,7.53,99.0,0.1,13613.6147,989382.0,1.7,1.7,0.824,15.4,Developed
1158,75.0,146.0,0,11.27,164.2793407,,2,63.0,1,99.0,7.74,99.0,0.1,12834.32349,992362.0,1.7,1.7,0.823,15.4,Developed
1159,74.8,15.0,0,11.51,17.82121883,,5,62.4,1,99.0,7.84,99.0,0.1,1448.87958,9971727.0,1.7,1.7,0.821,15.4,Developed
1160,74.5,156.0,0,10.78,19.22023996,,0,61.7,1,99.0,7.85,99.0,0.1,1325.53379,123.0,1.8,1.8,0.817,15.3,Developed
1161,74.2,162.0,0,11.46,1281.155944,,1,61.1,1,99.0,7.55,99.0,0.1,12967.16543,12265.0,1.8,1.8,0.816,15.3,Developed
1162,74.1,165.0,1,11.64,181.7634078,,0,6.5,1,99.0,7.33,99.0,0.1,15669.25929,138188.0,1.9,1.9,0.812,15.3,Developed
1163,73.5,176.0,1,12.55,163.3433278,,0,59.9,1,99.0,7.51,99.0,0.1,13842.6549,15578.0,1.9,1.9,0.809,15.3,Developed
1164,73.4,177.0,1,13.16,1299.459306,,1,59.3,1,99.0,8.1,99.0,0.1,11398.76584,17137.0,2.0,2.0,0.802,15.2,Developed
1165,72.9,182.0,1,12.94,1317.08348,,2,58.8,1,99.0,8.28,99.0,0.1,11161.72441,18765.0,2.0,2.0,0.795,15.0,Developed
1166,72.9,18.0,1,13.28,146.8608016,,0,58.2,1,99.0,8.8,99.0,0.1,1259.5266,117146.0,2.1,2.1,0.793,15.3,Developed
1167,72.5,184.0,1,13.24,1030.220271,,0,57.6,1,99.0,8.42,99.0,0.1,8396.25323,1129552.0,2.1,2.1,0.784,14.9,Developed
1168,72.5,184.0,1,13.29,8.98619805,,0,57.1,1,98.0,7.47,99.0,0.1,665.6443,115868.0,2.2,2.2,0.775,14.6,Developed
1169,72.3,185.0,1,13.18,7.601092416,,20,56.6,1,99.0,7.11,99.0,0.1,527.85364,1187576.0,2.2,2.2,0.769,14.2,Developed
1170,71.7,193.0,1,12.22,75.36251406,,1,56.1,1,99.0,7.6,99.0,0.1,4623.46712,121971.0,2.3,2.3,0.761,13.9,Developed
1171,82.7,49.0,0,,0.0,,0,61.0,0,92.0,,92.0,0.1,5734.4436,33815.0,1.0,0.9,0.919,19.0,Developed
1172,82.5,49.0,0,7.45,8254.020763,,0,6.6,0,9.0,8.86,9.0,0.1,52473.11356,327386.0,1.0,0.9,0.915,19.0,Developed
1173,82.4,5.0,0,7.31,764.5440691,,0,6.2,0,91.0,8.75,91.0,0.1,4781.3888,323764.0,1.0,0.9,0.907,19.0,Developed
1174,82.5,5.0,0,7.81,6818.546407,,0,59.7,0,89.0,8.68,89.0,0.1,44333.8518,32716.0,1.0,0.9,0.901,18.7,Developed
1175,82.1,51.0,0,8.13,7.0480925,,0,59.3,0,95.0,8.65,95.0,0.1,46.217,31914.0,0.9,0.9,0.894,18.6,Developed
1176,81.8,53.0,0,8.25,6005.575763,,0,58.9,0,96.0,8.86,96.0,0.1,41676.44527,31841.0,0.9,0.9,0.894,18.4,Developed
1177,81.6,55.0,0,10.22,687.5776358,,0,58.5,0,96.0,9.12,96.0,0.1,4461.89251,318499.0,0.9,0.9,0.894,18.4,Developed
1178,81.4,58.0,0,8.49,7613.814999,,0,58.1,0,98.0,8.8,98.0,0.1,55575.29196,317414.0,0.9,0.9,0.892,18.2,Developed
1179,81.3,59.0,0,7.53,12042.97366,,0,57.8,0,97.0,8.75,97.0,0.1,68348.31817,311566.0,0.9,0.9,0.887,18.2,Developed
1180,81.1,61.0,0,7.2,1003.139804,,0,57.4,0,97.0,8.96,97.0,0.1,5613.54115,33782.0,0.9,0.9,0.884,18.1,Developed
1181,81.0,62.0,0,7.05,10631.20379,,0,56.9,0,95.0,9.21,95.0,0.1,56249.7555,296734.0,0.9,0.9,0.879,17.9,Developed
1182,88.0,65.0,0,6.79,8506.101443,,0,56.5,0,99.0,9.59,99.0,0.1,46917.27216,29274.0,1.0,0.9,0.873,18.3,Developed
1183,87.0,65.0,0,6.61,725.4853161,,0,55.9,0,97.0,1.7,97.0,0.1,3944.999,289521.0,1.0,0.9,0.866,17.6,Developed
1184,84.0,7.0,0,6.61,5948.096777,,0,55.4,0,95.0,9.86,95.0,0.1,31996.2172,287523.0,1.0,0.9,0.859,17.2,Developed
1185,80.0,72.0,0,6.37,5048.274426,,0,54.8,0,92.0,9.12,92.0,0.1,28585.9254,284968.0,1.0,0.9,0.854,17.1,Developed
